"team"
"PHI"
"DAL"
"LAC"
"KC"
"ATL"
"TB"
"CLE"
"CIN"
"IND"
"MIA"
"JAX"
"CAR"
"NE"
"LV"
"NO"
"ARI"
"NYJ"
"PIT"
"WAS"
"NYG"
"DEN"
"TEN"
"SEA"
"SF"
"GB"
"DET"
"LA"
"HOU"
"BUF"
"BAL"
"CHI"
"MIN"
